experiment,hour,date,device_make,platform_os,response
1,15,6,13,6,1
1,22,7,13,6,1
0,10,5,13,6,0
1,2,6,13,6,0
0,12,0,81,6,1
1,19,6,13,6,0
0,5,0,12,6,0
0,14,5,11,6,0
1,17,4,43,5,0
1,17,1,99,6,1
1,14,6,13,6,0
0,5,0,35,6,0
0,7,0,13,6,0
0,21,1,72,6,1
0,8,0,64,6,1
1,15,4,71,6,1
1,15,6,13,6,1
1,9,6,13,6,0
1,0,5,86,6,0
1,15,6,73,6,1
1,15,1,13,6,0
1,15,0,86,6,0
0,15,0,95,6,1
1,15,0,42,6,0
0,1,3,42,6,1
1,5,2,66,6,1
0,3,7,55,6,1
1,9,3,13,6,1
0,8,0,65,6,0
0,15,0,13,6,1
1,19,2,66,6,1
0,12,3,13,6,0
0,2,0,13,6,0
1,6,1,104,6,1
0,9,0,13,6,0
0,17,0,13,6,0
0,5,7,112,6,1
1,22,1,13,6,0
0,9,0,81,6,0
0,17,0,13,6,1
0,20,0,73,6,1
1,0,6,13,6,0
0,21,7,13,6,1
1,9,6,13,6,1
1,3,7,72,6,0
1,14,2,13,6,1
1,19,1,13,6,0
1,10,2,4,6,0
1,4,3,13,6,0
0,8,0,13,6,0
1,14,7,13,6,1
1,15,2,19,6,0
0,9,0,13,6,1
1,14,0,13,6,1
0,7,0,24,6,0
1,15,6,25,6,0
1,4,5,13,6,0
0,15,3,87,6,0
0,15,0,42,6,0
1,5,6,13,6,1
1,15,2,13,6,1
1,17,7,13,6,0
0,9,0,72,6,1
1,13,2,13,6,1
1,0,6,66,6,1
0,8,5,13,6,1
0,8,2,13,6,0
1,6,2,68,6,0
1,11,4,94,6,0
1,11,6,103,6,0
0,3,0,13,6,0
1,15,1,68,6,0
0,15,0,13,6,1
1,15,5,13,6,1
0,17,3,54,6,0
1,17,5,13,6,0
1,12,7,13,6,0
1,19,7,66,6,1
0,15,0,1,6,0
0,16,6,13,6,0
1,8,6,54,6,0
1,4,6,13,6,1
0,15,0,33,6,1
1,0,6,13,6,1
0,12,0,72,6,1
0,8,0,13,6,0
0,8,0,13,6,0
0,15,2,13,6,1
0,13,7,13,6,1
0,3,1,54,6,0
1,15,0,13,6,1
0,7,7,51,6,0
0,10,7,13,6,0
1,1,5,13,6,1
0,3,0,13,6,0
0,7,6,13,6,1
1,21,0,13,6,0
0,11,0,13,6,0
0,19,2,13,6,0
1,9,6,13,6,1
1,15,7,13,6,1
0,20,0,81,6,1
1,12,2,13,6,0
0,1,0,13,6,0
0,15,0,40,6,1
1,8,1,13,6,0
1,15,6,19,6,1
1,13,7,25,6,0
1,15,6,14,6,1
1,15,0,13,6,1
0,4,0,114,6,1
0,21,4,13,6,0
1,15,0,104,6,1
0,12,0,111,6,0
1,12,2,13,6,0
0,14,6,13,6,1
1,15,1,13,6,0
1,18,3,76,6,1
0,18,3,51,6,1
0,15,6,13,6,1
1,15,3,13,6,0
1,8,5,13,6,1
0,13,4,33,6,0
1,10,5,6,6,1
0,12,0,18,6,0
0,15,0,43,6,0
0,19,5,13,6,0
1,20,5,67,6,0
1,12,2,13,6,1
1,15,5,58,6,0
1,15,2,51,6,1
1,17,1,61,6,1
1,18,6,13,6,0
1,4,5,13,6,0
0,16,0,13,6,0
1,18,0,114,6,1
0,14,0,13,6,1
0,15,2,68,6,1
0,8,1,64,6,1
0,7,0,103,6,0
1,20,0,22,6,1
1,1,6,13,6,1
0,15,0,13,6,0
1,4,2,13,6,1
1,1,1,13,6,0
1,17,0,26,6,0
1,10,5,66,6,1
1,8,2,23,6,1
0,14,7,66,6,0
0,13,6,46,6,1
1,9,7,27,6,1
0,4,0,2,6,1
1,13,7,13,6,0
0,4,0,83,6,1
0,15,7,66,6,1
0,15,2,13,5,0
0,6,6,13,6,1
0,17,0,71,6,0
1,12,2,13,6,0
1,22,6,13,6,1
0,15,0,13,6,1
0,19,0,72,6,0
1,20,5,104,6,0
0,16,0,54,6,1
1,5,7,13,6,0
0,3,1,13,6,0
0,15,5,13,6,1
1,7,4,13,6,0
0,15,1,13,6,0
0,22,1,13,6,0
0,11,7,13,6,0
1,15,6,13,6,0
1,15,2,13,6,1
0,15,4,13,6,0
1,7,4,94,6,0
1,7,6,13,6,1
0,12,3,13,6,0
1,11,7,17,6,1
0,20,2,60,6,0
1,15,3,13,6,1
0,13,4,82,6,0
0,14,5,13,6,1
1,16,5,42,6,1
0,16,5,13,6,0
1,5,5,13,6,1
1,13,6,73,6,1
1,9,0,13,6,0
0,16,2,13,6,1
1,11,3,13,6,0
1,13,0,13,6,1
0,3,1,13,6,0
1,16,0,13,6,0
1,12,0,81,6,1
1,2,1,13,6,0
0,4,6,19,6,0
0,8,6,13,6,1
0,15,7,12,6,0
1,10,0,72,6,0
0,15,2,79,6,1
1,21,2,13,6,0
0,1,4,13,6,0
1,2,6,13,6,1
0,18,5,13,6,0
1,10,6,13,6,0
1,9,5,13,6,0
0,3,6,13,6,0
0,22,2,13,6,0
1,2,1,66,6,1
1,7,5,85,6,0
1,22,2,13,6,0
0,5,1,110,6,0
1,2,5,13,6,0
1,22,0,13,6,1
1,4,3,13,6,1
1,10,7,13,6,0
1,3,5,39,6,0
0,10,6,97,6,0
1,15,1,13,6,1
1,14,3,68,6,1
1,6,1,65,6,1
0,11,0,13,6,1
0,3,6,42,6,0
1,15,2,13,6,0
0,19,0,13,6,1
0,9,0,13,6,1
0,21,0,13,6,1
0,2,5,13,6,0
1,17,4,13,6,0
1,9,6,13,6,0
1,15,4,75,6,0
1,14,1,13,6,1
1,7,5,13,6,0
0,10,6,26,6,1
1,0,6,65,6,1
1,9,2,21,6,1
1,15,6,13,6,0
1,14,0,73,6,0
0,13,6,13,6,0
1,15,6,13,6,1
1,12,7,13,6,0
0,21,7,43,6,1
1,16,1,13,6,0
1,14,2,13,6,1
0,7,0,51,6,0
1,4,5,13,6,0
1,8,7,13,6,1
0,11,2,41,6,1
0,16,7,13,6,1
1,21,6,24,6,1
0,11,6,79,6,0
1,0,5,70,6,1
1,4,0,13,6,0
1,16,1,13,6,1
0,15,0,68,6,0
1,20,6,27,6,0
1,6,6,13,6,1
1,15,1,61,6,0
0,10,0,114,6,1
0,6,0,114,6,0
1,19,3,13,6,1
0,7,1,13,6,0
0,15,0,13,6,0
1,3,6,13,6,0
1,21,0,13,6,0
1,15,6,13,6,0
0,0,0,13,6,0
1,5,4,25,6,1
0,6,0,13,6,1
0,5,0,13,6,0
0,15,0,13,6,0
0,11,4,13,6,0
0,16,1,13,6,1
1,19,0,13,6,0
0,15,3,105,6,0
1,4,6,13,6,0
0,20,5,13,6,1
1,15,0,13,6,0
0,14,6,72,6,0
1,5,2,68,6,0
1,12,4,13,6,0
0,0,0,13,6,1
1,8,2,42,6,1
1,10,6,13,6,1
0,4,7,13,6,1
1,6,5,94,6,1
0,8,5,13,6,0
1,13,5,13,6,0
1,8,4,72,6,0
0,20,6,13,6,1
0,18,1,13,6,0
1,15,5,13,6,1
1,18,0,13,6,0
1,15,5,68,6,0
1,6,2,68,6,0
1,15,1,13,6,1
1,13,2,46,6,1
1,13,5,13,6,0
1,19,2,13,6,0
1,15,1,2,6,1
1,15,3,13,6,0
1,16,1,13,6,1
0,16,1,13,6,1
1,14,7,41,6,0
1,12,7,13,6,0
1,10,4,13,6,0
0,21,6,68,6,1
1,23,1,13,6,1
0,7,0,13,6,0
1,3,6,54,6,1
0,15,5,51,6,0
1,15,6,13,6,1
1,18,0,13,6,0
0,11,5,68,6,1
0,10,0,13,6,0
1,6,2,13,6,0
1,8,0,13,6,0
1,7,0,13,6,0
0,4,0,13,6,0
1,15,0,13,6,0
0,4,3,13,6,1
0,4,0,13,6,1
1,13,6,43,6,1
0,4,0,13,6,1
1,15,1,13,6,0
0,10,1,71,6,0
0,21,7,13,6,1
0,14,0,23,6,0
1,10,7,13,6,1
1,15,0,13,6,1
0,15,0,13,6,0
1,13,0,47,6,0
1,15,0,92,6,0
0,7,5,74,6,0
1,16,2,13,6,1
1,6,2,13,6,1
0,16,1,13,6,1
1,10,5,13,6,1
0,15,0,13,6,0
0,15,1,27,6,0
0,15,1,13,6,1
0,8,0,13,6,1
0,15,6,95,6,1
0,8,0,13,6,1
1,7,0,13,6,1
0,15,5,13,6,0
0,16,5,5,6,1
0,15,4,13,6,0
0,15,5,73,6,0
0,6,0,64,6,0
1,18,3,13,6,0
1,19,1,13,6,0
1,21,1,13,6,1
0,9,0,66,6,0
1,1,3,13,6,0
1,12,3,13,6,0
0,8,1,81,6,0
1,5,1,13,6,0
0,2,7,13,6,0
0,11,1,27,6,0
1,19,7,66,6,0
1,19,7,13,6,0
0,8,6,13,6,1
1,10,5,13,6,0
1,7,6,42,6,1
1,7,5,66,6,0
0,11,0,87,6,1
1,12,6,73,6,0
0,1,3,23,6,1
0,5,4,13,6,0
1,15,2,13,6,1
1,6,2,66,6,1
0,7,2,2,6,0
1,15,3,66,6,0
0,13,1,13,6,1
0,11,5,13,6,1
1,4,7,44,6,0
1,1,4,68,6,1
1,19,6,13,6,1
1,13,3,48,6,1
0,8,2,13,6,0
0,9,0,13,6,0
1,2,0,13,6,0
0,19,4,13,6,0
1,11,6,33,6,0
1,14,5,75,6,1
0,7,0,50,6,0
1,7,5,13,6,1
1,8,1,34,6,1
0,15,7,13,6,0
0,15,0,13,6,0
1,15,6,13,6,0
0,4,0,13,6,1
1,6,6,13,6,0
1,15,5,13,6,1
1,13,5,114,6,1
1,15,6,13,6,1
0,5,3,13,6,0
0,8,7,66,6,0
1,3,7,13,6,1
1,15,7,13,6,0
1,15,7,94,6,1
1,9,1,13,6,1
1,4,1,13,6,0
0,6,0,46,6,0
0,10,0,93,6,0
1,15,6,13,6,1
1,16,7,13,6,0
1,9,2,13,6,0
0,22,5,47,6,1
1,13,5,13,6,0
1,9,1,13,6,0
1,15,1,48,6,1
1,8,4,61,6,0
1,6,4,13,6,1
0,8,6,77,6,1
0,15,0,72,6,1
1,7,0,9,6,0
1,17,3,13,6,1
1,8,2,19,6,0
0,16,1,13,6,1
0,6,0,13,6,1
1,19,3,13,6,0
0,9,0,13,6,1
1,15,2,13,6,1
0,4,0,13,6,0
0,10,0,68,6,0
0,0,4,22,6,1
1,15,5,59,6,0
1,3,6,13,6,1
1,10,3,13,6,0
1,5,1,1,6,1
1,15,7,58,6,0
0,6,4,13,6,0
0,11,5,13,6,0
0,12,1,13,6,0
0,15,7,114,6,1
1,15,7,13,6,0
1,7,5,47,6,0
0,21,7,13,6,1
0,16,1,114,6,0
1,5,4,13,6,0
1,8,4,50,6,0
0,7,0,75,6,0
1,6,5,13,6,0
0,5,0,23,6,0
1,4,1,13,6,0
1,17,1,13,6,0
1,13,6,69,6,1
0,15,2,13,6,0
0,15,0,13,6,0
1,0,2,13,6,0
1,20,7,13,6,1
0,15,0,68,6,1
0,0,3,114,6,0
1,10,7,13,6,0
0,19,6,13,6,0
1,7,4,13,6,0
1,15,6,13,6,1
1,23,4,46,6,1
0,12,0,68,6,0
1,9,5,13,6,0
1,6,1,13,6,1
0,8,7,102,6,1
0,15,3,13,6,0
1,15,5,13,6,1
1,20,4,48,6,1
1,19,6,2,6,1
0,0,3,13,6,1
0,17,1,13,6,1
0,2,0,68,6,0
0,17,5,13,6,0
0,11,0,21,6,1
0,4,2,13,6,1
1,15,4,68,6,1
1,4,1,65,6,1
1,14,2,38,6,0
0,18,6,87,6,0
1,10,4,13,6,0
1,15,7,19,5,0
0,6,0,13,6,1
0,1,0,47,6,0
0,8,0,64,6,1
1,11,6,13,6,0
0,18,7,13,6,0
1,15,0,13,6,1
1,0,2,13,6,0
0,18,0,13,6,1
0,13,7,66,6,0
0,7,4,13,6,0
0,3,0,114,6,1
1,14,0,65,6,1
1,3,6,13,6,0
0,22,5,13,6,0
1,15,1,44,6,1
1,15,6,13,6,0
1,11,4,13,5,0
1,15,5,13,6,1
1,15,1,13,6,0
1,7,5,13,6,0
1,3,7,13,6,0
1,18,5,13,6,1
1,15,5,35,6,1
0,16,7,13,6,1
1,4,1,13,6,0
1,18,0,68,6,0
1,8,3,66,6,1
0,15,0,7,6,0
1,11,1,66,6,0
0,10,0,60,6,0
1,3,6,47,6,0
0,8,3,13,6,1
0,15,5,72,6,1
1,20,0,48,6,0
1,18,4,13,6,0
0,15,0,13,6,1
1,10,6,13,6,0
0,8,0,69,6,0
0,6,4,81,6,1
0,15,6,13,6,0
0,16,0,13,6,0
0,16,5,43,6,0
1,1,5,13,6,0
0,16,4,13,6,0
0,7,0,13,6,1
0,5,1,65,6,0
1,15,4,72,6,0
0,7,7,68,6,1
1,14,6,13,6,0
1,16,5,87,6,0
1,22,5,13,6,0
0,18,0,13,6,1
1,1,0,48,6,0
0,15,0,13,6,0
1,11,5,38,6,0
1,3,7,13,6,1
0,9,6,13,6,0
1,20,1,13,6,1
0,16,5,93,6,0
1,14,1,41,6,1
1,9,2,13,6,1
1,11,5,13,6,1
0,15,0,47,6,0
0,15,0,13,6,1
0,15,0,78,6,0
0,15,6,13,6,1
0,14,1,13,6,0
0,1,0,62,6,0
1,23,6,13,6,1
1,5,5,13,5,1
1,7,6,13,6,0
1,15,7,13,6,0
1,9,5,43,6,1
0,6,0,13,6,1
0,15,1,3,6,1
0,15,1,13,6,0
0,2,0,13,6,1
0,15,5,13,6,0
0,1,0,42,6,0
0,15,6,13,6,1
0,8,0,13,6,0
0,18,0,114,6,0
0,15,0,13,5,0
0,2,7,13,6,0
0,8,0,13,6,0
1,18,0,13,6,0
1,2,6,25,6,1
1,16,7,13,6,1
0,18,2,77,6,1
0,8,2,13,6,0
1,15,5,13,6,0
0,5,6,13,6,1
0,7,2,68,6,1
0,4,1,52,6,1
0,2,2,13,6,0
0,7,5,13,6,0
0,3,1,114,6,1
0,10,1,13,6,1
1,6,0,13,6,0
1,16,3,81,6,0
0,11,6,13,6,0
0,3,4,26,6,1
0,15,2,65,6,0
1,15,7,13,6,0
1,0,1,13,6,0
1,6,7,68,6,0
0,15,0,73,6,1
0,3,0,13,6,0
0,5,0,13,6,0
1,1,7,13,6,0
0,17,0,13,6,0
0,7,5,51,6,0
0,1,7,66,6,1
0,4,5,13,6,1
0,12,0,13,6,1
1,15,7,26,6,1
1,15,6,13,6,1
0,21,2,13,6,1
1,14,1,13,6,1
0,0,0,13,6,1
1,9,5,34,6,0
1,9,1,13,6,0
0,14,6,13,6,0
0,9,3,54,6,1
0,11,0,68,6,0
0,7,0,47,6,1
0,13,0,91,6,1
0,20,0,13,6,1
0,15,4,13,6,0
1,16,3,13,6,0
1,12,5,13,6,1
1,3,6,13,6,0
1,7,6,13,6,0
0,10,2,66,6,0
0,15,1,86,6,0
0,22,0,46,6,1
1,20,6,114,6,0
0,10,1,13,6,0
0,8,1,66,5,0
1,4,4,13,6,1
1,9,1,53,6,0
0,15,0,107,6,0
0,17,1,1,6,1
0,15,6,72,6,1
1,15,7,44,6,0
1,23,6,63,6,1
0,2,4,26,6,0
0,1,1,106,6,0
1,8,6,13,6,1
0,12,0,52,6,0
1,9,0,62,6,1
0,15,7,13,6,1
0,19,2,13,6,0
1,2,5,43,6,0
1,5,5,43,6,1
1,20,5,13,6,0
0,15,5,68,6,1
0,14,0,13,6,0
0,19,0,43,6,1
